Norma,Descricao da Sigla,Data de Apresentacao,Autor,Partido,Ementa,Similaridade Semantica,Link Documento PDF,Link Página Web,Indexacao,Último Estado,Data Último Estado,Situação
PL 5324/2025,Projeto de Lei,2025-10-21,Dimas Gadelha,PT,"Altera o Marco Civil da Internet - Lei nº 12.965, de 23 de abril de 2014, para obrigar a identificação de conteúdo gerado por inteligência artificial.",0.828,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3026018,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2574067,"Alteração, Marco Civil da Internet (2014), obrigatoriedade, identificação, conteúdo informativo, conteúdo digital, inteligência artificial, provedor de aplicações, internet.",Apresentação de Proposição,2025-10-21,Aguardando Autorização do Despacho
PL 4308/2025,Projeto de Lei,2025-08-28,Tião Medeiros,PP,"Altera a Lei no 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre a obrigatoriedade de aviso ao usuário do emprego de ferramentas de inteligência artificial em aplicação de internet.",0.790,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2988307,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2554623,"Alteração, Marco Civil da Internet (2014), obrigatoriedade, provedor de aplicações, aviso, utilização, inteligência artificial, conteúdo digital, diretrizes.",Recebimento,2025-09-23,Tramitando em Conjunto
PL 3967/2025,Projeto de Lei,2025-08-12,Laura Carneiro,PSD,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre a obrigatoriedade de identificação de conteúdo gerado por inteligência artificial.",0.763,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2971761,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2543191,"Alteração, Marco Civil da Internet (2014), obrigatoriedade, plataforma digital, identificação, conteúdo digital, Inteligência artificial.",Recebimento,2025-09-23,Tramitando em Conjunto
PL 777/2025,Projeto de Lei,2025-03-07,Luiz Couto,PT,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre transparência, responsabilidade e moderação de conteúdo por provedores de aplicações de internet.",0.636,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2863641,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2485979,"Alteração, Marco Civil da Internet (2014), transparência, Responsabilidade, Moderação de conteúdo, Provedor de aplicações, Plataforma digital, regulação, Internet.",Encerramento de Prazo,2025-06-16,Aguardando Parecer
PL 1617/2025,Projeto de Lei,2025-04-09,Jonas Donizette,PSB,"Altera as Leis nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), e nº 14.129, de 29 de março de 2021, para dispor sobre diretrizes de segurança, acessibilidade e usabilidade voltadas a pessoas idosas em aplicações de internet",0.617,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2884268,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2496551,"Alteração, Estatuto da Pessoa Idosa (2003), diretrizes, Aplicação de internet, Serviços digitais, Segurança, Acessibilidade digital, Idoso.",Publicação de Proposição,2025-10-24,
PL 488/2025,Projeto de Lei,2025-02-17,Carlos Chiodini,MDB,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre a publicidade digital em aplicações de internet.",0.605,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2856025,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2484126,"Alteração, Marco Civil da Internet (2014), responsabilidade solidária, Provedor de aplicações, Internet, rede social digital, Plataforma intermediadora, Publicidade digital, publicidade programática, comércio eletrônico, reparação do dano, fraude, golpe financeiro, usuário.",Encerramento de Prazo,2025-05-28,Aguardando Parecer
PLP 153/2025,Projeto de Lei Complementar,2025-07-17,Paulo Guedes,PT,Institui a Contribuição Social sobre a Propriedade de Sistemas de Interface entre Usuários de Internet (CPSI) e dispõe sobre outras providências voltadas ao fortalecimento da soberania digital do Brasil.,0.598,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2960496,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2538208,"Criação, Contribuição Social sobre a Propriedade de Sistemas de Interface entre Usuários de Internet (CPSI), plataforma digital, provedor de aplicação de mensagem instantânea, servidor de e-mail, motor de busca, fato gerador, incidência tributária, base de cálculo, recursos financeiros, arrecadação, aplicação, destinação, diretrizes.",Designação de Relator(a),2025-10-15,Aguardando Parecer
PL 2453/2025,Projeto de Lei,2025-05-21,Fábio Teruel,MDB,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para estabelecer a privacidade como configuração padrão em navegadores e aplicativos de internet, visando proteger os dados e a privacidade dos usuários.",0.596,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2915871,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2515240,"Alteração, Marco Civil da Internet (2014), critério, garantia, privacidade, proteção, dados, usuário, configuração, navegador de internet, software aplicativo.",Publicação de Proposição,2025-10-16,
PL 4217/2025,Projeto de Lei,2025-08-26,Juscelino Filho,UNIÃO,"Altera a Lei nº 9.472, de 16 de julho de 1997, a Lei n° 10.703, de 18 de julho de 2003, e a Lei n° 12.965, de 23 de abril de 2014, para dispor sobre a habilitação e o cancelamento de serviços de telefonia celular e sobre a utilização de recursos de numeração por provedores de aplicações da internet.",0.595,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2985105,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2552509,"Alteração, Lei Geral de Telecomunicações (1997), Marco Civil da Internet (2014), Lei Federal, critério, concessionária de serviço de telefonia, habilitação, telefone celular, obrigatoriedade, compartilhamento de dados, poder público, registro, número, telefone, desativação.",Desapensação,2025-10-28,Arquivada
PL 2575/2025,Projeto de Lei,2025-05-27,Talíria Petrone,PSOL,Dispõe sobre a obrigatoriedade de provedores de aplicações de internet manterem representação legal no território nacional.,0.585,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2919113,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2516979,"Critério, obrigatoriedade, provedor de aplicações, representante legal, pessoa jurídica, território nacional.",Encerramento de Prazo,2025-08-13,Aguardando Parecer
